x,y,color,label,batch
432.0673803936318,167.5372347942236,#1f77b4,a,0
417.5383789178304,174.6265958279816,#1f77b4,a,0
433.0647810523452,164.58240540130066,#1f77b4,a,0
438.5987639385852,192.0818858358516,#1f77b4,a,0
436.53741090334887,194.91835337752195,#1f77b4,a,0
436.4607750524882,213.97455863473925,#1f77b4,a,0
411.5861174120015,205.25567221267613,#1f77b4,a,0
429.52753810888254,228.75155971741538,#1f77b4,a,0
411.064864388948,249.86915202699765,#1f77b4,a,0
423.1659290987259,264.1449831175123,#1f77b4,a,0
413.0380715980494,272.3300038312734,#1f77b4,a,0
427.8887220716145,265.44888907177864,#1f77b4,a,0
413.1830500500141,267.1831537791676,#1f77b4,a,0
410.6040933651919,278.77379252525566,#1f77b4,a,0
427.8902082326107,308.2492994067319,#1f77b4,a,0
421.75001901466567,338.6430245819339,#1f77b4,a,0
418.97782127216647,347.1303978935062,#1f77b4,a,0
429.8554670565748,341.8561546283536,#1f77b4,a,0
441.3892656283097,360.1147464924948,#1f77b4,a,0
454.9718112806309,359.5130977337716,#1f77b4,a,0
437.8124924771679,386.6035717717261,#1f77b4,a,0
456.54176500902565,374.6343651471301,#1f77b4,a,0
443.4254781405202,383.3905801738501,#1f77b4,a,0
455.9739599644335,422.00250602416247,#1f77b4,a,0
444.63345978866766,423.4372103635031,#1f77b4,a,0
426.8346050648864,427.2984652095055,#1f77b4,a,0
447.1035524000922,411.6484944267293,#1f77b4,a,0
443.792955241978,442.9476597989823,#1f77b4,a,0
462.00163691431834,446.26547439127836,#1f77b4,a,0
453.97161305410157,420.38298056419654,#1f77b4,a,0
468.54919246301773,418.75315596681753,#1f77b4,a,0
451.33187920261423,443.57243741537354,#1f77b4,a,0
476.7648666010317,448.8997120354918,#1f77b4,a,0
503.96929429064545,429.12245611337585,#1f77b4,a,0
505.06707204792247,464.53040555946893,#1f77b4,a,0
509.0027051063618,434.50590381050745,#1f77b4,a,0
511.6810909557572,432.98831025316775,#1f77b4,a,0
502.3853472301609,463.90875862568805,#1f77b4,a,0
515.5534003975278,470.33762392530093,#1f77b4,a,0
530.2170730125374,454.8328505067846,#1f77b4,a,0
571.7988413750434,469.12648309140576,#1f77b4,a,0
553.6242492229961,449.266554613799,#1f77b4,a,0
564.5355862304983,459.9353357937606,#1f77b4,a,0
595.9598216925456,422.71158238797983,#1f77b4,a,0
594.6992356003492,438.56418247121303,#1f77b4,a,0
604.1600547932657,417.3018726244927,#1f77b4,a,0
632.4241010463799,450.64313494936323,#1f77b4,a,0
598.7803254579328,412.7483197892455,#1f77b4,a,0
635.8686428556476,417.98853545864836,#1f77b4,a,0
645.1171601449176,424.81136196340805,#1f77b4,a,0
640.6526073210172,401.98824393410024,#1f77b4,a,0
632.4160670566216,396.079909646041,#1f77b4,a,0
644.896286117118,365.8313022537983,#1f77b4,a,0
643.633525586722,356.2382608595202,#1f77b4,a,0
648.384830100222,345.5468641953719,#1f77b4,a,0
656.3845259595761,339.7596607404894,#1f77b4,a,0
650.3375914474891,351.05059713660125,#1f77b4,a,0
626.6129259884809,303.4564352527704,#1f77b4,a,0
635.3584600294076,308.51741363679474,#1f77b4,a,0
627.7481974822325,321.90934663593475,#1f77b4,a,0
634.4319545585539,302.05601058586615,#1f77b4,a,0
627.5050288255745,285.4684436689472,#1f77b4,a,0
645.8581876643015,283.92392381889965,#1f77b4,a,0
648.0537851646122,275.0499738742391,#1f77b4,a,0
628.6699973102434,243.02380300269851,#1f77b4,a,0
635.6976695382385,228.8988064205517,#1f77b4,a,0
636.8849156504386,231.34994382946348,#1f77b4,a,0
625.9506682778269,207.32227714192845,#1f77b4,a,0
633.7755946608931,221.467823535337,#1f77b4,a,0
646.4536358486046,185.65886113096542,#1f77b4,a,0
609.9452873409923,183.34905465162325,#1f77b4,a,0
613.0135580096976,205.11408644650805,#1f77b4,a,0
636.6427294101492,172.06713565702387,#1f77b4,a,0
623.5809973544139,194.70127431709858,#1f77b4,a,0
638.2716433539865,200.4203835501974,#1f77b4,a,0
626.5818176548512,164.0444877405343,#1f77b4,a,0
608.543262630629,168.87379497441884,#1f77b4,a,0
636.890972028153,152.0921656611328,#1f77b4,a,0
643.3589935230918,187.20362976623892,#1f77b4,a,0
641.5412826644057,154.51845885381704,#1f77b4,a,0
641.2268241613156,144.44546606423705,#1f77b4,a,0
621.8031455959409,145.22863194701102,#1f77b4,a,0
628.69929830101,171.57719925841087,#1f77b4,a,0
633.3375809136677,164.7764914822946,#1f77b4,a,0
625.585616179015,152.97534840740826,#1f77b4,a,0
621.1479898784605,164.10717711842534,#1f77b4,a,0
631.4515012666675,138.80066107176322,#1f77b4,a,0
619.6797700556157,162.87028712317385,#1f77b4,a,0
623.4280487300548,135.85145643215674,#1f77b4,a,0
650.5427760701665,161.92705453454374,#1f77b4,a,0
622.6379705010127,139.44969357738591,#1f77b4,a,0
644.6559271497727,129.58113706353856,#1f77b4,a,0
641.7472989913729,156.90996301147402,#1f77b4,a,0
659.908274223656,126.3868301697201,#1f77b4,a,0
637.9991446149612,143.7417663146398,#1f77b4,a,0
653.6320642024806,154.1759475133627,#1f77b4,a,0
639.7267397991204,146.18248918191819,#1f77b4,a,0
649.6717985891054,151.06342831525535,#1f77b4,a,0
639.3796469522863,125.48622524181405,#1f77b4,a,0
654.0261958893245,148.44285361909567,#1f77b4,a,0
664.4156077866754,145.28081410355617,#1f77b4,a,0
665.3276196318503,139.14418095388527,#1f77b4,a,0
